# Instructions and general help: Read first then read row 3 for what to include in each column,# Step 1: Pick a paper from one of the ecosystem spreadsheets.,"# Step 2: Change the dropdown under ""Data"" to ""data pulled"" and it will highlight that paper so no one else pulls data from it.","# Step 3: Copy the author, year, and title, then paste them in this sheet. Paste them into as many rows as there are waterbodies studied.",,"# For example, if a paper measured DNRA rates in two rivers and a reservoir, the author, year, and title will appear on three rows.",# Step 4: Enter the data separately for each waterbody where DNRA rates were measured.,"# When entering data, use underscores to separate words and don't use special characters (e.g., write umol with a u, not a mu, or R will have a hard time)","# Use all lowercase letters except for proper nouns and chemicals (e.g., NH4+)","# Make sure to fill out all fields. If something doesn't apply, write NA",,,"# Lat/long help: if listed in something other than decimal degrees, use this to convert: https://www.pgc.umn.edu/apps/convert/",# Make sure to plug the values you get into Google maps to verify it converted correctly,"# Lat/long will often be in the supplemental data. However, some papers won't report it at all.","# Since we're placing these on a world map, we don't have to be precise with lat/long.","# If they give a general location with a waterbody name, you can find the general vicinity of the study on a map.","# In Google Earth, hold your mouse over the spot and hit shift + ctrl + c to copy the lat/long.","# Go to Tools > Options and change to decimal degrees if it gives you degrees minutes seconds, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author,Year,Title,Waterbody_name,Subrep,Latitude_decimal_degrees,Longitude_decimal_degrees,State_or_province,Country,Ecosystem_type,Fig_3_rates,Fig_4_percent,Field_or_Lab,Study_duration,Natural_or_potential,Manipulation_type,Measurement_method,Measurement_quality,Data_reported,Number_rate_estimates,Replicates_total,DNRA_rate_min,DNRA_rate_max,DNRA_rate_mean,DNRA_rate_SE,DNRA_rate_SD,Units_DNRA_rate,Type_units,Units_based_on,DNRA_percent_removal_min,DNRA_percent_removal_max,DNRA_percent_removal_mean,DNRA_percent_removal_SE,DNRA_percent_removal_SD,Total_nitrate_removal_min,Total_nitrate_removal_max,Total_nitrate_removal_mean,Total_nitrate_removal_SE,Units_nitrate_removal,Dominant_controls,Percent_removal_data,Has_N2_N2O_data,Data_pulled_by,Help_or_fix,Notes,N2_N2O_rate_min,N2_N2O_rate_max,N2_N2O_rate_mean,N2_N2O_rate_SE,Units_N2_N2O_rate
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Wintergreen Lake ,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,"Doesn't appear to have actual DNRA rates. Instead they added nitrate to the water, measured NO3- dissapearance rates, and infered which processes were taking place based on increases/decreases in H2S, SO42-, and NH4+ concentrations. Also, note that most sites are lakes, but it seems like sampling took place in the wetlands along the lake perimiters ",,,,,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Windmill Pond,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,"Doesn't appear to have actual DNRA rates. Instead they added nitrate to the water, measured NO3- dissapearance rates, and infered which processes were taking place based on increases/decreases in H2S, SO42-, and NH4+ concentrations. Also, note that most sites are lakes, but it seems like sampling took place in the wetlands along the lake perimiters ",,,,,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Prairieville Creek,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,"Doesn't appear to have actual DNRA rates. Instead they added nitrate to the water, measured NO3- dissapearance rates, and infered which processes were taking place based on increases/decreases in H2S, SO42-, and NH4+ concentrations. Also, note that most sites are lakes, but it seems like sampling took place in the wetlands along the lake perimiters ",,,,,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Lawrence Lake ,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,"Doesn't appear to have actual DNRA rates. Instead they added nitrate to the water, measured NO3- dissapearance rates, and infered which processes were taking place based on increases/decreases in H2S, SO42-, and NH4+ concentrations. Also, note that most sites are lakes, but it seems like sampling took place in the wetlands along the lake perimiters ",,,,,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Three Lakes,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,NA,,,,,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Douglas Lake Outflow ,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,NA,,,,,
Pang et al,2021,Long-term sulfide input enhances chemoautotrophic denitrification rather than DNRA in freshwater lake sediments,Hongze_Lake,before_S_incubation,33.22388889,118.4278,Jiangsu,China,lake,yes,yes,Lab,July_2017_to_Oct_2017,potential,sulfate_addtiton,15N_isotope_tracing_technique,high,estimated,1,,NA,NA,1.55,NA,0.27,nmol_N_g-1_h-1,mass,sediment_dry_wt,NA,NA,15,NA,,0.02,0.06,NA,NA,mM_d-1,Organic Carbon,DNRA_percent_data,yes,Saraf,,Not sure if field or lab exp.,,,,,
Pang et al,2021,Long-term sulfide input enhances chemoautotrophic denitrification rather than DNRA in freshwater lake sediments,Hongze_Lake,after_S_incubation,33.22388889,118.4278,Jiangsu,China,lake,yes,yes,Lab,July_2017_to_Oct_2017,potential,sulfate_addtiton,15N_isotope_tracing_technique,high,estimated,1,,NA,NA,0,NA,0,nmol_N_g-1_h-1,mass,sediment_dry_wt,NA,NA,0,NA,,0.07,0.2,NA,NA,mM_d-1,Organic Carbon,DNRA_percent_data,yes,Saraf,,Not sure if field or lab exp.,,,,,
Pang et al,2021,Long-term sulfide input enhances chemoautotrophic denitrification rather than DNRA in freshwater lake sediments,Nansi_Lake,before_S_incubation,34.58694444,117.3219,Jiangsu,China,lake,yes,yes,Lab,July_2017_to_Oct_2017,potential,sulfate_addtiton,15N_isotope_tracing_technique,high,estimated,1,,NA,NA,5.42,NA,0.41,nmol_N_g-1_h-1,mass,sediment_dry_wt,NA,NA,27,NA,,NA,NA,NA,NA,NA,Organic Carbon,DNRA_percent_data,yes,Saraf,,Not sure if field or lab exp.,,,,,
Pang et al,2021,Long-term sulfide input enhances chemoautotrophic denitrification rather than DNRA in freshwater lake sediments,Nansi_Lake,after_S_incubation,34.58694444,117.3219,Jiangsu,China,lake,yes,yes,Lab,July_2017_to_Oct_2017,potential,sulfate_addtiton,15N_isotope_tracing_technique,high,estimated,1,,NA,NA,1.23,NA,0.1,nmol_N_g-1_h-1,mass,sediment_dry_wt,NA,NA,3.5,NA,,NA,NA,NA,NA,NA,Organic Carbon,DNRA_percent_data,yes,Saraf,,Not sure if field or lab exp.,,,,,
